State,CWS,NTNCWS,TNCWS,Total,Source_Ground,Source_Surface,Source_Total,Pop_CWS,Pop_NTNCWS,Pop_TNCWS,Pop_Total,Pop_Ground,Pop_Surface,Pop_Total2,CWS_with_Reported_Health_Based_Violations,Percent_WaterSource,Population_Served_Contaminated,Percent_Pop
AK,440,267,943,1650,1358,290,1648,588636,62789,110795,762220,351418,410184,761602,98,0.22,56596,0.1
AL,535,27,62,624,380,244,624,5535062,15216,6789,5557067,1560346,3996721,5557067,31,0.06,169280,0.03
AR,710,38,391,1139,710,428,1138,2695163,9472,22032,2726667,910287,1816355,2726642,145,0.2,419794,0.16
AZ,801,220,605,1626,1564,62,1626,6182244,127251,115561,6425056,2868877,3556179,6425056,113,0.14,256426,0.04
CA,3103,1565,3263,7931,6560,1312,7872,40471688,389642,816637,41677967,6950754,34719607,41670361,366,0.12,1618290,0.04
CO,878,180,1060,2118,1570,539,2109,5323704,72207,250561,5646472,709330,4935504,5644834,83,0.09,233515,0.04
CT,570,606,1545,2721,2637,80,2717,2710364,114892,60200,2885456,431464,2447552,2879016,69,0.12,40778,0.02
DC,5,1,,6,,6,6,606730,370,,607100,,607100,607100,1,0.2,11000,0.02
DE,216,93,198,507,500,7,507,894985,24957,54881,974823,487743,487080,974823,24,0.11,21386,0.02
FL,1782,943,3194,5919,5826,73,5899,19116490,251957,264059,19632506,15728714,3902343,19631057,130,0.07,721983,0.04
GA,1819,217,522,2558,2313,241,2554,8378196,70262,81863,8530321,1794597,6734851,8529448,104,0.06,543674,0.06
HI,115,15,2,132,122,10,132,1450054,11260,375,1461689,1328940,132749,1461689,2,0.02,13416,0.01
IA,1142,142,698,1982,1830,151,1981,2699767,50141,79660,2829568,1522956,1306578,2829534,76,0.07,67396,0.02
ID,757,235,1019,2011,1925,85,2010,1098968,52837,105604,1257409,991408,265501,1256909,147,0.19,182790,0.17
IL,1761,418,3658,5837,5078,753,5831,12102436,136162,365645,12604243,3629187,8974955,12604142,117,0.07,445984,0.04
IN,824,609,2955,4388,4267,119,4386,4746237,198341,396856,5341434,2916810,2424533,5341343,71,0.09,143024,0.03
KS,898,49,97,1044,665,379,1044,2639336,21374,4285,2664995,750919,1914076,2664995,126,0.14,646238,0.24
KY,409,27,50,486,152,334,486,4428695,11929,5705,4446329,392650,4053679,4446329,55,0.13,512012,0.12
LA,1079,156,248,1483,1391,92,1483,4914900,63333,58871,5037104,3012490,2024614,5037104,110,0.1,821285,0.17
MA,541,279,993,1813,1589,219,1808,9321119,76226,145323,9542668,1949337,7593067,9542404,97,0.18,929743,0.1
MD,478,574,2539,3591,3479,108,3587,5154720,162127,247509,5564356,978093,4585263,5563356,54,0.11,143036,0.03
ME,389,371,1227,1987,1890,82,1972,663840,70295,190343,924478,475398,448931,924329,62,0.16,63671,0.1
MI,1416,1487,9083,11986,11646,308,11954,7619302,341839,1062905,9024046,3112738,5908812,9021550,82,0.06,266296,0.03
MN,959,530,5868,7357,7236,121,7357,4249409,78807,546929,4875145,3464927,1410218,4875145,55,0.06,148409,0.03
MO,1494,259,1122,2875,2638,236,2874,5196065,78061,122038,5396164,2057254,3338838,5396092,185,0.12,1412409,0.27
MS,1122,86,79,1287,1273,13,1286,3144628,76555,10643,3231826,2994468,237241,3231709,65,0.06,213102,0.07
MT,698,262,1209,2169,1936,232,2168,718270,77888,176111,972269,538977,433277,972254,85,0.12,50483,0.07
NC,2154,462,3833,6449,5989,459,6448,7529265,125589,331579,7986433,2032705,5953608,7986313,286,0.13,651205,0.09
ND,335,24,161,520,405,115,520,566334,3658,15748,585740,265706,320034,585740,18,0.05,5227,0.01
NE,597,171,596,1364,1291,68,1359,1480128,50045,54440,1584613,743226,841264,1584490,172,0.29,153243,0.1
NH,726,458,1306,2490,2425,57,2482,859688,95558,321370,1276616,748431,524842,1273273,115,0.16,155133,0.18
NJ,623,840,2590,4053,3925,122,4047,9004961,370752,432350,9808063,3850767,5956300,9807067,55,0.09,680109,0.08
NM,628,159,481,1268,1196,71,1267,1795476,49580,83396,1928452,1038664,889738,1928402,100,0.16,189358,0.11
NV,232,109,247,588,534,40,574,2540363,41583,22626,2604572,299254,2305293,2604547,44,0.19,57639,0.02
NY,2729,783,6255,9767,8414,1333,9747,19648915,313380,2869564,22831859,5486762,17341420,22828182,270,0.1,1769771,0.09
OH,1272,803,3050,5125,4792,322,5114,10587735,226266,429487,11243488,3458712,7783314,11242026,63,0.05,1716925,0.16
OK,1119,112,420,1651,895,755,1650,3568213,23332,33364,3624909,685387,2939422,3624809,252,0.23,913116,0.26
OR,881,347,1484,2712,2398,310,2708,3237441,72322,212755,3522518,812257,2710192,3522449,150,0.17,632512,0.2
PA,2087,1281,6284,9652,9046,601,9647,10804280,534767,792399,12131446,2611983,9519280,12131263,156,0.07,522845,0.05
RI,89,81,322,492,463,29,492,994670,23388,61540,1079598,224348,855250,1079598,16,0.18,121389,0.12
SC,619,137,799,1555,1184,367,1551,3842361,38153,48043,3928557,592751,3335736,3928487,37,0.06,523837,0.14
SD,461,27,176,664,518,146,664,714994,9090,23622,747706,312946,434760,747706,100,0.22,221084,0.31
TN,488,47,375,910,539,371,910,6228108,25712,57501,6311321,1471564,4839757,6311321,20,0.04,140345,0.02
TX,5157,1103,1704,7964,6519,1416,7935,25390157,550213,353996,26294366,8146418,18140096,26286514,445,0.09,1845144,0.07
UT,472,89,547,1108,957,148,1105,2706904,31014,84570,2822488,816667,2005786,2822453,38,0.08,208097,0.08
VA,1215,592,1147,2954,2549,400,2949,6588235,321898,175644,7085777,778418,6307115,7085533,138,0.11,129767,0.02
VT,449,248,700,1397,1275,120,1395,450383,44251,100067,594701,319102,275482,594584,76,0.17,53660,0.12
WA,2315,360,1719,4394,4118,274,4392,6378210,154802,407949,6940961,3193015,3747684,6940699,95,0.04,34757,0.01
WI,1079,895,9722,11696,11633,55,11688,3992237,213284,727650,4933171,3079870,1853075,4932945,75,0.07,244150,0.06
WV,514,138,515,1167,811,355,1166,1505878,41391,33376,1580645,305870,1274750,1580620,49,0.1,128668,0.09
WY,316,90,399,805,664,141,805,450109,22162,73849,546120,197415,348705,546120,31,0.1,9949,0.02
